tag,cfg,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
v6.0.0,AS,-24.2454125,-34.28485,-34.9691125,-25.454225,-20.36555,-22.98305,-29.876125000000002,-29.0475875,-23.2755625,-29.0916,-24.181575000000002,-34.287,-35.0839625,-25.517512500000002
v6.0.0,LD,-18.16555357142857,-36.366433928571425,-35.35613035714285,-19.95554285714286,-17.899594642857142,-17.97989642857143,-20.049353571428572,-19.48861964285714,-18.187589285714285,-25.62225714285714,-18.262732142857143,-36.65849464285714,-35.16469464285714,-19.611812500000003
v6.0.0,RA,-22.472823076923078,-37.19358241758242,-37.256980219780225,-24.05743076923077,-21.760672527472526,-22.266624175824177,-27.458687912087914,-26.44474835164835,-22.158534065934067,-28.780201098901095,-22.551684615384616,-37.32255714285714,-37.090212087912086,-23.653894505494502
v6.0.0,Still,-8.973863157894737,-24.738159649122807,-28.353870175438594,-10.936373684210526,-8.555092982456141,-9.344970175438597,-9.498587719298245,-9.278252631578948,-10.426077192982456,-14.122192982456141,-8.973863157894737,-24.738159649122807,-28.353870175438594,-10.095101754385965
v7.0.0,AI,-16.087147252747254,-36.15709230769231,-37.16427802197803,-18.441524175824174,-15.0251010989011,-15.727453846153846,-17.473618681318683,-17.10453846153846,-16.60103186813187,-25.079045054945055,-16.069357142857143,-36.18516813186813,-37.142164835164834,-17.844773626373627
v7.0.0,AS,-25.4281875,-36.4915375,-36.2913875,-26.72065,-21.349825,-24.0248625,-30.591075,-29.7040625,-24.383074999999998,-30.7619125,-25.3700625,-36.5066625,-36.4171625,-26.7601375
v7.0.0,LD,-19.54510892857143,-39.29809107142857,-38.092705357142854,-21.513505357142858,-19.391853571428573,-19.468775,-21.78709464285714,-21.221444642857143,-19.731325,-27.38184107142857,-19.640041071428573,-39.51240178571429,-37.882975,-21.09687142857143
v7.0.0,RA,-23.50995164835165,-40.931054945054946,-40.52835494505494,-25.38796153846154,-22.85142747252747,-23.358784615384614,-28.583935164835164,-27.606452747252746,-23.379443956043954,-30.76530989010989,-23.579071428571428,-41.09454615384615,-40.40268681318681,-24.85134065934066
v7.0.0,Still,-9.242971929824563,-25.918863157894737,-29.43050701754386,-11.313263157894736,-8.861145614035088,-9.68512807017544,-9.943038596491228,-9.783322807017544,-10.822208771929825,-14.81858947368421,-9.242971929824563,-25.918863157894737,-29.43050701754386,-10.459949122807016
v8.0.0,AI,-17.437604395604396,-37.6605054945055,-38.56076153846154,-19.807464835164836,-16.31890879120879,-17.06350879120879,-18.859295604395605,-18.483285714285714,-17.953136263736265,-26.499884615384616,-17.420079120879123,-37.69911868131868,-38.545475824175824,-19.206749450549452
v8.0.0,AS,-26.2332125,-37.452475,-37.220025,-27.542324999999998,-22.224225,-24.900637500000002,-31.3643875,-30.5164,-25.224362499999998,-31.71885,-26.1759375,-37.48305,-37.33795,-27.5872
v8.0.0,LD,-20.7249125,-40.17891428571429,-39.02581428571428,-22.662121428571428,-20.54856785714286,-20.654644642857143,-22.565457142857145,-22.0797375,-20.899985714285716,-28.48170892857143,-20.81932142857143,-40.376,-38.834153571428565,-22.242048214285713
v8.0.0,RA,-24.752232967032967,-42.02845714285714,-41.601639560439565,-26.609678021978024,-24.029083516483517,-24.595007692307693,-29.503843956043955,-28.57644065934066,-24.588600000000003,-31.886078021978022,-24.83187142857143,-42.184558241758246,-41.49657692307692,-26.081928571428573
v8.0.0,Still,-9.713473684210527,-26.61261403508772,-30.097871929824564,-11.809229824561402,-9.232663157894736,-10.106512280701754,-10.825305263157896,-10.578231578947369,-11.275750877192984,-15.25638947368421,-9.713473684210527,-26.61261403508772,-30.097871929824564,-10.946463157894737
v9.0.0,AI,-19.340636263736265,-37.73907362637363,-38.32149120879121,-21.532291208791207,-18.600785714285713,-18.992863736263736,-21.20286923076923,-20.954105494505495,-20.0983010989011,-27.633684615384617,-19.357635164835163,-37.793716483516484,-38.32591428571428,-20.91225164835165
v9.0.0,AS,-28.4412125,-37.4619875,-37.320862500000004,-29.507325,-24.398075,-26.501775,-32.6123,-31.816175,-27.34945,-32.68935,-28.4937375,-37.5696,-37.527924999999996,-29.6735625
v9.0.0,LD,-22.759162500000002,-40.141371428571425,-38.51945892857143,-24.45953928571429,-22.35815,-22.37427142857143,-25.330183928571426,-24.76862142857143,-23.15373214285714,-29.332007142857144,-23.079385714285714,-40.52513750000001,-38.58015535714286,-24.3382875
v9.0.0,RA,-26.88132087912088,-41.965793406593406,-41.65875824175824,-28.50814065934066,-26.14845934065934,-26.4871978021978,-31.95350879120879,-31.029363736263733,-26.902306593406593,-32.91132637362637,-27.143034065934064,-42.32180549450549,-41.75386813186813,-28.229139560439563
v9.0.0,Still,-11.989347368421052,-26.33352105263158,-28.581896491228072,-13.819784210526317,-12.343480701754386,-12.658417543859649,-14.50569649122807,-14.253640350877193,-13.864943859649122,-16.746696491228068,-11.989347368421052,-26.33352105263158,-28.581896491228072,-12.952261403508773
