tag,cfg,class,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
v4.0.0,RA,B2,-22.944622222222222,-34.09625555555556,-35.35296666666667,-24.19983333333333,-23.177666666666667,-23.677766666666667,-24.569100000000002,-23.10118888888889,-24.072955555555556,-29.991522222222223,-23.058866666666667,-33.466255555555556,-34.76156666666667,-24.63661111111111
v4.0.0,RA,E,-14.04384375,-20.59590625,-18.952025,-14.93359375,-12.9412875,-13.24533125,-19.3505,-18.43179375,-13.535025000000001,-16.07113125,-14.4349875,-20.5445875,-18.805375,-14.80549375
v4.0.0,RA,G1,-21.326175,-37.239875,-47.1237,-23.434725,-18.877175,-20.0211,-30.679675000000003,-29.203850000000003,-20.44435,-27.752625000000002,-21.507375,-37.498925,-47.528,-22.839
v4.0.0,RA,G2,-17.975285714285715,-38.30784285714286,-43.37341428571428,-20.38658571428571,-17.680014285714286,-18.012,-25.029914285714284,-23.802028571428572,-17.617014285714287,-24.71861428571429,-17.916514285714285,-39.25164285714286,-43.034728571428566,-18.793142857142858
v4.0.0,Still,F1,-6.341260714285714,-22.55879285714286,-25.965307142857142,-8.158160714285714,-5.470889285714286,-6.602760714285714,-6.875349999999999,-6.553814285714286,-7.506178571428571,-10.834210714285714,-6.341260714285714,-22.55879285714286,-25.965307142857142,-7.227085714285714
v4.0.0,Still,F2,-7.943968965517241,-17.954993103448274,-21.78629655172414,-9.365913793103447,-7.294034482758621,-7.948886206896551,-7.009406896551724,-6.948693103448276,-8.564989655172415,-11.649544827586206,-7.943968965517241,-17.954993103448274,-21.78629655172414,-8.635924137931035
v5.0.0,AI,A1,-12.3884875,-27.024675000000002,-28.333537500000002,-14.2972,-9.62115,-11.66175,-13.783025,-13.3671,-12.500175,-19.872775,-12.3840375,-27.0294125,-28.319125,-14.778975
v5.0.0,AI,A2,-11.152668421052631,-26.322231578947367,-30.02321052631579,-12.877921052631578,-9.525405263157895,-10.541542105263158,-12.108168421052632,-11.5553,-10.3321,-16.822773684210528,-11.151173684210526,-26.3253,-30.025905263157895,-12.656473684210527
v5.0.0,AI,A3,-12.1143625,-26.310625,-30.2922375,-13.7142625,-11.2056125,-11.4543,-12.392125,-12.2,-12.054375,-17.46735,-12.114862500000001,-26.310299999999998,-30.295612499999997,-13.2923375
v5.0.0,AI,A4,-9.9458,-33.75545,-39.7952,-12.361183333333335,-11.953333333333333,-10.288816666666667,-9.878883333333333,-9.43465,-8.913466666666666,-16.72295,-9.9441,-33.76145,-39.704550000000005,-11.468116666666667
v5.0.0,AI,A5,-8.658175,-26.356425,-23.3818,-10.292375,-9.639475000000001,-9.17265,-10.7605,-10.42675,-9.7683,-14.941725,-8.65295,-26.416849999999997,-23.434175,-9.473749999999999
v5.0.0,AI,B1,-14.638230000000002,-28.87055,-29.256220000000003,-16.21458,-12.898779999999999,-14.103739999999998,-13.91847,-13.440359999999998,-13.283530000000003,-19.9499,-14.63057,-28.944499999999998,-29.23215,-16.0192
v5.0.0,AI,B2,-23.379222222222225,-40.659955555555555,-41.897755555555555,-25.333833333333335,-25.04895555555556,-25.442999999999998,-22.89331111111111,-22.275622222222225,-25.73587777777778,-34.339277777777774,-23.526477777777778,-40.80345555555555,-42.051944444444445,-25.590677777777778
v5.0.0,AI,E,-11.6042875,-25.57841875,-25.6456625,-13.5103625,-9.82945,-10.561087500000001,-14.37565,-14.138275,-12.04289375,-16.05000625,-11.46253125,-25.636175,-25.60495,-12.3780875
v5.0.0,AI,G1,-13.71555,-39.4732,-51.977225000000004,-17.758025,-9.664725,-12.001275,-14.94125,-14.7596,-13.42055,-27.77715,-13.720475,-39.590925,-51.981275,-16.65005
v5.0.0,AI,G2,-15.226157142857144,-41.63522857142857,-46.32897142857143,-18.662871428571428,-13.394185714285713,-14.090514285714287,-16.003357142857144,-15.483500000000001,-15.081757142857143,-27.15602857142857,-15.254871428571429,-41.56415714285714,-46.29772857142857,-16.961942857142855
v5.0.0,AS,A1,-21.3817375,-31.5396625,-32.48755,-22.5793,-17.7157375,-20.162412500000002,-26.8709625,-25.86625,-20.63285,-26.186075,-21.3328875,-31.535474999999998,-32.5873,-22.68635
v5.0.0,LD,A2,-13.52382105263158,-29.146642105263158,-30.183015789473686,-15.08271052631579,-12.367831578947369,-12.971347368421053,-15.634352631578949,-15.099363157894738,-12.50048947368421,-18.55458947368421,-13.69587894736842,-29.40265789473684,-30.307894736842105,-14.861352631578947
v5.0.0,LD,A3,-14.21655,-27.8598,-27.5780875,-15.5530875,-13.0235,-13.1748625,-14.3865625,-14.011312499999999,-13.542475,-19.44155,-14.256062499999999,-27.789825,-27.2657125,-15.112012499999999
v5.0.0,LD,A4,-15.138133333333334,-34.484500000000004,-37.00718333333334,-17.10546666666667,-16.533516666666667,-15.311316666666668,-14.478383333333333,-15.020233333333332,-13.003016666666667,-19.659200000000002,-15.417616666666666,-34.845733333333335,-37.351,-16.65105
v5.0.0,LD,A5,-11.724375,-31.38765,-17.934874999999998,-12.963049999999999,-11.656125,-11.373775,-14.116725,-13.554649999999999,-12.205625,-15.1756,-11.966225,-31.3345,-17.784875,-12.569949999999999
v5.0.0,LD,B1,-13.572610000000001,-30.910890000000002,-27.09491,-15.181389999999999,-13.564400000000001,-14.110149999999999,-14.890440000000002,-14.403839999999999,-12.73281,-18.05048,-13.42773,-32.38702,-26.862659999999998,-14.746770000000001
v5.0.0,LD,B2,-27.656533333333336,-39.03868888888889,-39.059466666666665,-28.895733333333332,-27.90512222222222,-28.192999999999998,-29.690833333333337,-28.031233333333333,-28.385744444444445,-34.29557777777778,-27.81708888888889,-38.01583333333333,-38.51546666666667,-29.3946
